"kind","id","title","hru","url","category","Wikipedia"
2,1245723,"Имп","imp","http://www.ivi.ru/watch/imp",,
2,861925,"Внимание, еда!","vnimanie_eda","http://www.ivi.ru/watch/vnimanie_eda",,
2,468514,"Детка","detka","http://www.ivi.ru/watch/detka",,
2,387120,"Падение Берлина","padenie_berlina","http://www.ivi.ru/watch/padenie_berlina",,
2,185224,"Вспомни, что будет","vspomni_chto_budet","http://www.ivi.ru/watch/vspomni_chto_budet",,
2,1225808,"Морской мир","morskoy_mir","http://www.ivi.ru/watch/morskoy_mir",,
2,1152497,"Москва улыбается","moskva_ulybaetsa","http://www.ivi.ru/watch/moskva_ulybaetsa",,
2,977413,"Приключения Зипа и Запа","priklucheniya_zipa_i_zapa","http://www.ivi.ru/watch/priklucheniya_zipa_i_zapa",,
2,522061,"Катерина","katerina","http://www.ivi.ru/watch/katerina",,
2,1038223,"Дело было в Гавриловке 2","delo_bylo_v_gavrilovke_2","http://www.ivi.ru/watch/delo_bylo_v_gavrilovke_2",,
2,522010,"Снежный ангел","snezhnyi_angel","http://www.ivi.ru/watch/snezhnyi_angel",,
2,1011289,"Вышел ежик из тумана","vyshel_ezhik_iz_tumana","http://www.ivi.ru/watch/vyshel_ezhik_iz_tumana",,
2,889375,"Спецкор отдела расследований","spetskor_otdela_rassledovaniy","http://www.ivi.ru/watch/spetskor_otdela_rassledovaniy",,
2,814547,"Правильный выбор","pravilnyi_vybor","http://www.ivi.ru/watch/pravilnyi_vybor",,
2,1119099,"Не в последний раз","ne_v_posledniy_raz","http://www.ivi.ru/watch/ne_v_posledniy_raz",,
2,1118931,"Медовый месяц","medovyi_mesyats","http://www.ivi.ru/watch/medovyi_mesyats",,
2,475249,"Дикая Америка","dikaya_amerika","http://www.ivi.ru/watch/dikaya_amerika",,
2,1232553,"Крысиная жизнь","krysinaya_zhizn","http://www.ivi.ru/watch/krysinaya_zhizn",,
2,1004532,"Найденыш 2","naydenysh_2","http://www.ivi.ru/watch/naydenysh_2",,
2,522066,"Пепел Феникса","pepel_feniksa","http://www.ivi.ru/watch/pepel_feniksa",,
2,393729,"Сандокан 3","sandokan_3","http://www.ivi.ru/watch/sandokan_3",,
2,821272,"За все тебя благодарю 3","za_vse_tebya_blagodaryu_3","http://www.ivi.ru/watch/za_vse_tebya_blagodaryu_3",,
2,1152735,"Детектив Артура Хейли","detektiv_artura_heyli","http://www.ivi.ru/watch/detektiv_artura_heyli",,
2,1245720,"Человек-невидимка","chelovek-nevidimka","http://www.ivi.ru/watch/chelovek-nevidimka",,
2,1152725,"Геркулес","gerkules","http://www.ivi.ru/watch/gerkules",,
2,1051815,"Христианские святыни Италии","hristianskie_svyatyni_italii","http://www.ivi.ru/watch/hristianskie_svyatyni_italii",,
2,991352,"МакБрайд","makbraid","http://www.ivi.ru/watch/makbraid",,
2,1152726,"Ушла, но не забыта (Знак черной розы)","ushla_no_ne_zabyta","http://www.ivi.ru/watch/ushla_no_ne_zabyta",,
2,281867,"Марево","marevo","http://www.ivi.ru/watch/marevo",,
2,923173,"Дневники вампира","dnevniki_vampira","http://www.ivi.ru/watch/dnevniki_vampira",,
2,977851,"Мумии возвращаются!","mumii_vozvraschayutsa","http://www.ivi.ru/watch/mumii_vozvraschayutsa",,
2,535625,"Кто такая Саманта?","kto_takaya_samanta","http://www.ivi.ru/watch/kto_takaya_samanta",,
2,650923,"Ангел-хранитель","angel-hranitel","http://www.ivi.ru/watch/angel-hranitel",,
2,876132,"Диалоги о рыбалке. Народный проект 7ТВ","dialogi-o-rybalke-narodny-proekt","http://www.ivi.ru/watch/dialogi-o-rybalke-narodny-proekt",,
2,1018006,"Сыщики районного масштаба 2","syschiki_rayonnogo_masshtaba_2","http://www.ivi.ru/watch/syschiki_rayonnogo_masshtaba_2",,
